Entreprise,Entite,Poles,Service
fournil,Laboratoire,fabrication,boulangerie
fournil,Laboratoire,fabrication,patisserie
fournil,Laboratoire,fabrication,viennoiserie
fournil,Laboratoire,fabrication,communs-fabrication
fournil,Laboratoire,fabrication,direction-fabrication
fournil,Laboratoire,approvisionnement,achats
fournil,Laboratoire,approvisionnement,stock
fournil,Laboratoire,conditionnement,emballage
fournil,Laboratoire,conditionnement,expedition
fournil,Laboratoire,qualite-hygiene,
fournil,Laboratoire,maintenance,
fournil,Laboratoire,communs-laboratoire,
fournil,Laboratoire,direction-laboratoire,
fournil,Vente,boutique,accueil-boutique
fournil,Vente,boutique,caisse
fournil,Vente,boutique,communs-boutique
fournil,Vente,boutique,direction-boutique
fournil,Vente,commercial,ventes-pro
fournil,Vente,commercial,marketing
fournil,Vente,commercial,direction-commercial
fournil,Vente,livraisons,tournees
fournil,Vente,livraisons,planning
fournil,Vente,ressources,secretariat
fournil,Vente,ressources,comptabilite
fournil,Vente,ressources,rh
fournil,Vente,ressources,informatique
fournil,Vente,ressources,communs-ressources
fournil,Vente,ressources,direction-ressources
fournil,Vente,communs-vente,
fournil,Vente,direction-vente,
